item_id,modifiers,participant_id,session_id,s3_bucket,s3_object_key,face_crop_s3_object_key,face_crop_s3_bucket,fps,video_length,num_frames,resolution,video_codec_original,audio_codec_original,self_face_swap,processing_mode,processing_config_face_swapper_model,demographics_gender,demographics_native_language,demographics_age_group,technical_info_recording_software,technical_info_device_type,technical_info_device_brand_model,is_speaking,gestures,head_direction,dataset_labels,created_at,teams_meeting_id,duration,r_fps,avg_fps,width,height,has_audio,audio_codec_ffprobe,video_codec_ffprobe,frame_count,bit_rate,profile,pix_fmt,chroma_subsampling,color_range,color_space,color_transfer,color_primaries,chroma_location,field_order,time_base,is_likely_vfr,type,vfrdet_vfr_ratio,vfrdet_vfr_frames,vfrdet_total_frames,vfrdet_min_delta,vfrdet_max_delta,vfrdet_is_vfr,dirname
00423--cc19883e-d21d-46ff-bc87-9401661604c2,raw,423,cc19883e-d21d-46ff-bc87-9401661604c2,grl-mleng-dsfactory-training-video-data,raw/00423/cc19883e-d21d-46ff-bc87-9401661604c2.mov,,,30.061298177848688,41.681467,1253,1280x720,h264,aac,,,,Male,Portuguese,25–34,Windows Camera App (Windows default),Windows laptop,HP laptop 15s-fq2xxx,True,"[{'type': 'speaking', 'description': 'Describe your perfect weekend'}]",left,['v1.0.0_dataset'],2025-06-16T18:15:11.776859Z,,41.681467,60/1,358000/11909,1280,720,True,aac,h264,1253,8231020,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.928115,1162.0,90.0,909.0,1449.0,True,raw/00423
00423--cc19883e-d21d-46ff-bc87-9401661604c2,facefusion-v1,423,cc19883e-d21d-46ff-bc87-9401661604c2,grl-mleng-dsfactory-training-video-data,facefusion/00423/00423_cc19883e-d21d-46ff-bc87-9401661604c2.mov,,,30.061298177848688,41.681467,1253,1280x720,h264,aac,1.0,,hififace_unofficial_256,Male,Portuguese,25–34,Windows Camera App (Windows default),Windows laptop,HP laptop 15s-fq2xxx,True,"[{'type': 'speaking', 'description': 'Describe your perfect weekend'}]",left,['v1.0.0_dataset'],2025-06-16T18:15:11.776859Z,,41.6815,358000/11909,358000/11909,1280,720,False,,h264,1253,26542532,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/358000,True,mov,,,,,,,facefusion/00423
00357--64e46db5-ca25-489b-8586-f9a8ef0bdfa6,raw,357,64e46db5-ca25-489b-8586-f9a8ef0bdfa6,grl-mleng-dsfactory-training-video-data,raw/00357/64e46db5-ca25-489b-8586-f9a8ef0bdfa6.mov,,,30.16918910540788,54.673563,1648,1280x720,h264,aac,,,,Female,Greek,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5490,False,"[{'category': 'emblematic', 'type': 'gesture', 'description': 'thumbs up'}, {'category': 'postural', 'type': 'pose', 'description': 'lean forward'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'affective', 'type': 'gesture', 'description': 'hand on chin'}, {'category': 'facial', 'type': 'pose', 'description': 'frown'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'facial', 'type': 'pose', 'description': 'wide eyes'}, {'category': 'deictic', 'type': 'gesture', 'description': 'gesture inward'}, {'category': 'head', 'type': 'pose', 'description': 'head shake side to side'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:15.464441Z,,54.673583,60/1,24720000/819379,1280,720,True,aac,h264,1648,8192441,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.936855,1543.0,104.0,943.0,1446.0,True,raw/00357
00357--64e46db5-ca25-489b-8586-f9a8ef0bdfa6,facefusion-v1,357,64e46db5-ca25-489b-8586-f9a8ef0bdfa6,grl-mleng-dsfactory-training-video-data,facefusion/00357/00357_64e46db5-ca25-489b-8586-f9a8ef0bdfa6.mov,/00357.jpg,grl-mleng-dsfactory-training-faces,30.16918910540788,54.673563,1648,1280x720,h264,aac,1.0,,inswapper_128,Female,Greek,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5490,False,"[{'category': 'emblematic', 'type': 'gesture', 'description': 'thumbs up'}, {'category': 'postural', 'type': 'pose', 'description': 'lean forward'}, {'category': 'iconic', 'type': 'gesture', 'description': 'mimic writing'}, {'category': 'affective', 'type': 'gesture', 'description': 'hand on chin'}, {'category': 'facial', 'type': 'pose', 'description': 'frown'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'facepalm'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'facial', 'type': 'pose', 'description': 'wide eyes'}, {'category': 'deictic', 'type': 'gesture', 'description': 'gesture inward'}, {'category': 'head', 'type': 'pose', 'description': 'head shake side to side'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:15.464441Z,,54.625267,189372/6277,189372/6277,1280,720,False,,h264,1648,22791935,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/189372,True,mov,,,,,,,facefusion/00357
00398--8ccac51e-c401-4b05-a14b-fded982e5688,raw,398,8ccac51e-c401-4b05-a14b-fded982e5688,grl-mleng-dsfactory-training-video-data,raw/00398/8ccac51e-c401-4b05-a14b-fded982e5688.mov,,,29.97214759310837,40.598,1216,1280x720,h264,aac,,,,Female,English,25–34,Windows Camera App (Windows default),Windows laptop,Google Chrome: Version 135.0.7049.104 (Official Build) (64-bit) Platform: 16209.50.0 (Official Build) stable-channel octopus Channel: stable-channel Firmware Version: Google_Bloog.11297.440.0 ARC Enabled: true ARC: 13328662 Enterprise Enrolled: false Developer Mode: false,True,"[{'type': 'speaking', 'description': 'Describe your ideal home'}]",left,['v1.0.0_dataset'],2025-06-16T18:15:56.864343Z,,40.597,30/1,1216000/40571,1280,720,True,aac,h264,1216,1950913,High,yuv420p,yuv420p,unknown,unknown,unknown,unknown,left,progressive,1/16000,True,mp4,0.51358,624.0,591.0,528.0,1072.0,True,raw/00398
00398--8ccac51e-c401-4b05-a14b-fded982e5688,facefusion-v1,398,8ccac51e-c401-4b05-a14b-fded982e5688,grl-mleng-dsfactory-training-video-data,facefusion/00398/00398_8ccac51e-c401-4b05-a14b-fded982e5688.mov,/00398.jpg,grl-mleng-dsfactory-training-faces,29.97214759310837,40.598,1216,1280x720,h264,aac,1.0,,inswapper_128,Female,English,25–34,Windows Camera App (Windows default),Windows laptop,Google Chrome: Version 135.0.7049.104 (Official Build) (64-bit) Platform: 16209.50.0 (Official Build) stable-channel octopus Channel: stable-channel Firmware Version: Google_Bloog.11297.440.0 ARC Enabled: true ARC: 13328662 Enterprise Enrolled: false Developer Mode: false,True,"[{'type': 'speaking', 'description': 'Describe your ideal home'}]",left,['v1.0.0_dataset'],2025-06-16T18:15:56.864343Z,,40.571,881331/29405,881331/29405,1280,720,False,,h264,1216,17340855,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/881331,True,mov,,,,,,,facefusion/00398
00136--ba023ed1-a650-41ee-af7e-48a80de4ca56,raw,136,ba023ed1-a650-41ee-af7e-48a80de4ca56,grl-mleng-dsfactory-training-video-data,raw/00136/ba023ed1-a650-41ee-af7e-48a80de4ca56.mov,,,29.782903581113327,54.930063,1635,1280x720,h264,aac,,,,Female,English,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5480,False,"[{'category': 'beat', 'type': 'gesture', 'description': 'small hand bob'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}, {'category': 'iconic', 'type': 'gesture', 'description': 'fingers showing small size'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'air quotes'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point at screen'}, {'category': 'postural', 'type': 'pose', 'description': 'lean back'}, {'category': 'head', 'type': 'pose', 'description': 'chin tuck'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'affective', 'type': 'gesture', 'description': 'lip biting'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:07.205960Z,,54.930084,60/1,24525000/823459,1280,720,True,aac,h264,1635,8071130,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.955936,1562.0,72.0,941.0,1449.0,True,raw/00136
00136--ba023ed1-a650-41ee-af7e-48a80de4ca56,facefusion-v1,136,ba023ed1-a650-41ee-af7e-48a80de4ca56,grl-mleng-dsfactory-training-video-data,facefusion/00136/00136_ba023ed1-a650-41ee-af7e-48a80de4ca56.mov,,,29.782903581113327,54.930063,1635,1280x720,h264,aac,1.0,,inswapper_128,Female,English,35–44,Windows Camera App (Windows default),Windows laptop,Dell Latitude 5480,False,"[{'category': 'beat', 'type': 'gesture', 'description': 'small hand bob'}, {'category': 'facial', 'type': 'pose', 'description': 'smile'}, {'category': 'iconic', 'type': 'gesture', 'description': 'fingers showing small size'}, {'category': 'gaze', 'type': 'pose', 'description': 'look away right'}, {'category': 'emblematic', 'type': 'gesture', 'description': 'air quotes'}, {'category': 'deictic', 'type': 'gesture', 'description': 'point at screen'}, {'category': 'postural', 'type': 'pose', 'description': 'lean back'}, {'category': 'head', 'type': 'pose', 'description': 'chin tuck'}, {'category': 'facial', 'type': 'pose', 'description': 'raised eyebrows'}, {'category': 'affective', 'type': 'gesture', 'description': 'lip biting'}]",variable,['v1.0.0_dataset'],2025-06-16T18:13:07.205960Z,,54.897267,487427/16366,487427/16366,1280,720,False,,h264,1635,30546170,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/487427,True,mov,,,,,,,facefusion/00136
00303--1df303c8-c97e-4e44-9d7f-e3156d5e3f3c,raw,303,1df303c8-c97e-4e44-9d7f-e3156d5e3f3c,grl-mleng-dsfactory-training-video-data,raw/00303/1df303c8-c97e-4e44-9d7f-e3156d5e3f3c.mov,00303/1df303c8-c97e-4e44-9d7f-e3156d5e3f3c_face_crop.png,grl-mleng-dsfactory-training-faces,30.070259530100984,48.877083,1468,1280x720,h264,aac,,,,Male,English,35–44,Windows Camera App (Windows default),Windows laptop,Asus Swift 3,True,"[{'type': 'speaking', 'description': ""Talk about a challenge you've overcome""}]",forward,['v1.0.0_dataset'],2025-06-16T18:15:21.704034Z,,48.877083,60/1,1468000/48819,1280,720,True,aac,h264,1468,8130844,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.843217,1237.0,230.0,930.0,1451.0,True,raw/00303
00303--1df303c8-c97e-4e44-9d7f-e3156d5e3f3c,facefusion-identity-swap-v1,303,1df303c8-c97e-4e44-9d7f-e3156d5e3f3c,grl-mleng-dsfactory-training-video-data,facefusion-identity-swap/00303/00303_1df303c8-c97e-4e44-9d7f-e3156d5e3f3c.mov,00038/acc99a15-51e0-4856-91b9-88b8772660b1_face_crop.png,grl-mleng-dsfactory-training-faces,30.070259530100984,48.877083,1468,1280x720,h264,aac,0.0,,inswapper_128,Male,English,35–44,Windows Camera App (Windows default),Windows laptop,Asus Swift 3,True,"[{'type': 'speaking', 'description': ""Talk about a challenge you've overcome""}]",forward,['v1.0.0_dataset'],2025-06-16T18:15:21.704034Z,,48.819,953558/31711,953558/31711,1280,720,False,,h264,1468,38597026,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/953558,True,mov,,,,,,,facefusion-identity-swap/00303
00175--0991f723-7550-469b-abf8-707ec0ceb7ef,raw,175,0991f723-7550-469b-abf8-707ec0ceb7ef,grl-mleng-dsfactory-training-video-data,raw/00175/0991f723-7550-469b-abf8-707ec0ceb7ef.mov,00175/0991f723-7550-469b-abf8-707ec0ceb7ef_face_crop.png,grl-mleng-dsfactory-training-faces,29.93106969619607,32.674542,977,1280x720,h264,aac,,,,Male,Portuguese,35–44,Windows Camera App (Windows default),Windows laptop,Positivo N4350,True,"[{'type': 'speaking', 'description': 'Talk about your dream vacation destination'}]",forward,['v1.0.0_dataset'],2025-06-16T18:12:47.191754Z,,32.674563,60/1,117240/3917,1280,720,True,aac,h264,977,8210176,Main,yuvj420p,yuvj420p,pc,unknown,unknown,unknown,left,progressive,1/30000,True,mp4,0.917008,895.0,81.0,953.0,1443.0,True,raw/00175
00175--0991f723-7550-469b-abf8-707ec0ceb7ef,facefusion-v1,175,0991f723-7550-469b-abf8-707ec0ceb7ef,grl-mleng-dsfactory-training-video-data,facefusion/00175/00175_0991f723-7550-469b-abf8-707ec0ceb7ef.mov,/00175.jpg,grl-mleng-dsfactory-training-faces,29.93106969619607,32.674542,977,1280x720,h264,aac,1.0,,inswapper_128,Male,Portuguese,35–44,Windows Camera App (Windows default),Windows laptop,Positivo N4350,True,"[{'type': 'speaking', 'description': 'Talk about your dream vacation destination'}]",forward,['v1.0.0_dataset'],2025-06-16T18:12:47.191754Z,,32.641667,117240/3917,117240/3917,1280,720,False,,h264,977,23190311,High,yuv420p,yuv420p,tv,bt709,unknown,unknown,left,progressive,1/117240,True,mov,,,,,,,facefusion/00175
